Data_File	Data_File_Loc	Site	Latitude	Longitude	Nash	RMSE	Mu	Alpha	Theta	Beta	Drainage_Area_Km2	Mean_Elevation_m	Mean_Slope_P	Mean_Aspect	BFI_P	P_Clay	P_Sand	P_Silt	Biomass_tons	Stem_Count	UrbanKm2	AgroKm2	SwampsKm2	GrassKm2	PeatlandKm2	RockKm2	DeciduousKm2	OakPineKm2	BorealKm2	OpenWaterKm2	aug_mean_air_degC	aug_max_air_degC	aug_mean_precip_mm	feb_mean_air_degC	feb_max_air_degC	feb_mean_precip_mm
MAFW_3yr	10	MAMaxw55	42.65049	-72.86615	0.896	2.08	2.41E-03	19.94041	0.6958147	10.039917	7.569	421.088	21.421945	125.680173	45.76248	5.937139	40.30331	53.75955	135363.81	73313	0.25567171	0.5088744	0	0	0	0.11238317	6.667132	0.024349687	0	0	18.73857	24.90143	100.75714	-5.150714	0.2571429	88.09143
MAFW_3yr	12	MAClak55	42.5956	-72.76126	0.947	1.538	1.28E-06	20.41991	0.736918	10.72928	7.5078	321.5513	18.816999	0.614828	46.41676	5.78927	41.3322	52.87853	135648.5	72439	0.30053984	0.42773716	0.03890842	0	0	0.015410117	6.42091	0.305222474	0	0	19.0075	25.3575	97.095	-4.80125	0.87375	86.3075
MAFW_3yr	13	MAAver55	42.62986	-72.8128	0.946	1.354	5.15E-04	19.18176	0.7037933	9.054852	11.4093	399.9832	19.881339	174.049633	45.88464	5.961499	40.49784	53.54066	124645.14	102994	0.48946276	1.55097289	0.0481034	0	0	0.190966251	8.849153	0.281553897	0	0	18.82773	24.89909	99.30818	-5.071818	0.2518182	89.69818
MAFW_3yr	16	MAFife55	42.68811	-72.99947	0.908	1.47	1.25E-05	16.13545	0.5442909	8.130472	5.4531	610.2519	25.876426	163.651228	45.66875	5.868484	39.82903	54.30249	142014.67	55490	0.08471307	0.09646222	0	0	0	0.484354436	4.770836	0.004682632	0	0	17.737	23.414	123.194	-6.071	-1.36	97.398
MAFW_3yr	18	MALyon55	42.55147	-72.45056	0.918	2.242	6.11E-01	24.20481	0.8183679	10.850455	9.297	288.8221	12.268948	346.193818	47.90392	4.992	55.70786	39.30014	128947.02	87565	0.59009678	0.23600466	0.62321576	0	0	0.033374396	7.649463	0.10412471	0	0.063172964	19.59937	25.9725	106.1875	-4.3625	1.395	84.76
MAFW_3yr	19	MAKeyu55	42.61712	-72.39482	0.947	1.554	2.95E-05	20.05857	0.7682454	11.637732	10.8945	300.5405	16.397431	174.756863	49	4.701319	50.29645	45.00223	138937.16	106362	0.35264477	0.10531665	0.66655139	0	0	0.109743869	9.558274	0.102336796	0	0.003746106	19.50792	25.97583	104.27	-4.57375	1.4091667	82.14833
MAFW_3yr	21	MAColl55	42.68405	-72.25032	0.943	1.764	1.92E-05	21.50492	0.7974436	10.632613	5.8815	273.7471	11.097263	150.631131	48.87101	3.605481	59.46007	36.93445	117851.68	49484	0.37529168	0.05780922	0.30973483	0	0	0.031245927	5.101855	0.007151656	0	0	19.56583	25.99	101.36	-4.456667	1.4566667	81.595
MAFW_3yr	22	MAWhet55	42.58674	-72.35693	0.951	1.462	1.67E-05	20.09832	0.7339395	10.952002	13.5792	286.0793	12.740122	356.619732	47.95878	4.992	55.70786	39.30014	133220.99	124908	0.29841137	0.03984494	0.58337082	0	0	0.008854432	12.570143	0.070154343	0	0.013366786	19.58107	26.04286	104.73786	-4.347857	1.59	85.145
MAFW_3yr	23	MAWeke55	42.46845	-71.73297	0.969	1.209	2.31E-04	24.3093	0.7285888	11.63175	20.6577	173.4872	9.809773	56.729342	52.65795	5.704974	50.46907	43.82596	76767.39	98356	3.42479198	3.12723199	1.30475158	0	0	0.557403497	11.340228	0.624067151	0	0.298837067	20.93159	26.81136	93.13136	-2.766818	2.6795455	85.41045
MAFW_3yr	24	MACobb55	42.41744	-71.88944	0.937	1.943	4.60E-04	23.82965	0.8414627	10.806189	6.4368	297.7085	8.228683	209.699628	52	6.409576	45.23071	48.35971	112905	48791	0.38320958	0.47047682	0.63002686	0	0	0.013196509	4.83784	0.107615399	0	0	20.12	25.49	88.15143	-3.409286	1.6371429	92.22
MAFW_3yr	25	MASWac55	42.42629	-71.90664	0.945	1.605	3.28E-05	20.20533	0.7981634	10.290214	16.9731	310.2032	8.855763	137.063476	51.8814	6.341677	44.1625	49.49583	118518.58	134956	0.92298936	1.15448166	3.12399672	0	0	0.004767771	10.830332	0.924606992	0	0.025030797	19.88188	25.40875	90.59	-3.659687	1.541875	90.45812
MAFW_3yr	26	MAGibb55	42.20013	-72.92189	0.952	1.316	2.19E-05	20.11323	0.6504081	11.876701	1.9701	434.3983	14.381362	83.609583	44	5.739	41.00207	53.25893	129106.07	17630	0.08777807	0.18713501	0	0	0	0.009194987	1.68132	0.005023187	0	0	19.345	25	110.74	-4.8575	0.675	91.34
MAFW_3yr	27	MARoar60	42.2553	-72.90691	0.955	1.64	8.38E-06	22.32398	0.8497331	10.99414	9.6147	359.6064	14.45779	117.596734	43.92477	6.25493	42.83176	50.91331	134855.91	83941	0.43684701	0.55425336	0.3667778	0	0	0.002383885	8.157571	0.075603224	0	0.020177887	19.34	25.69667	103.22111	-4.448333	1.2066667	86.48556
