year,month,day,precip,tmax,tmin,wind,Date
1949,6,5,1.12,27.98,12.06,5.84,5-6-1949
1949,6,6,0,27.64,8.5,4.02,6-6-1949
1949,6,7,0,23.32,9.53,4.06,7-6-1949
1949,6,8,0,18.67,3.94,7.17,8-6-1949
1949,6,9,0,20.31,3.1,3.24,9-6-1949
1949,6,10,0,22.81,6.92,4.51,10-6-1949
1949,6,11,0,28.82,10.31,8.54,11-6-1949
1949,6,12,0,32.8,14.92,7.5,12-6-1949
1949,6,13,0,32.49,16.07,7.03,13-6-1949
1949,6,14,0,29.51,17.51,7.01,14-6-1949
1949,6,15,0,28.2,15.82,4.85,15-6-1949
1949,6,16,0,29.05,17.5,4.93,16-6-1949
1949,6,17,0,29.3,18.51,5.72,17-6-1949
1949,6,18,0.55,29.41,18.15,5.43,18-6-1949
1949,6,19,8.15,31.28,16.96,3.71,19-6-1949
1949,6,20,0.32,30.51,18.04,4.11,20-6-1949
1949,6,21,0.73,33.13,18.69,6.72,21-6-1949
1949,6,22,7.47,29.61,17,7.01,22-6-1949
1949,6,23,0.52,27.09,12.83,4.98,23-6-1949
1949,6,24,0,31.06,12.06,2.46,24-6-1949
1949,6,25,14.45,32.58,17.05,7.1,25-6-1949
1949,6,26,9.7,30.67,18.44,8.03,26-6-1949
1949,6,27,0,31.39,15.7,3.78,27-6-1949
1949,6,28,0.57,23.95,13.76,7.35,28-6-1949
1949,6,29,0,25.24,12.2,5.12,29-6-1949
1949,6,30,0,27.66,12.28,4.43,30-6-1949
1949,7,1,0.3,29.33,11.89,5.24,1-7-1949
1949,7,2,0,31.25,12.96,2.38,2-7-1949
1949,7,3,0,33.49,16.9,4.24,3-7-1949
1949,7,4,0.32,34.15,15.94,7.13,4-7-1949
1949,7,5,0.32,30.92,18.89,4.77,5-7-1949
1949,7,6,0.1,29.27,14.37,0.72,6-7-1949
1949,7,7,0,27.61,11.51,4.1,7-7-1949
1949,7,8,0,28.55,9.16,4.49,8-7-1949
1949,7,9,0,28.74,10.33,3.53,9-7-1949
1949,7,10,9.2,23.72,14.88,6.06,10-7-1949
1949,7,11,2.08,26.94,16.25,0.62,11-7-1949
1949,7,12,5.1,28.85,16.77,3.56,12-7-1949
1949,7,13,9.27,28.05,16.82,5.29,13-7-1949
1949,7,14,0,29.88,15.64,0.9,14-7-1949
1949,7,15,4.35,27.04,17.17,2.85,15-7-1949
1949,7,16,0.62,27.52,15.88,2.14,16-7-1949
1949,7,17,1.08,26.2,18.31,2.91,17-7-1949
1949,7,18,0.68,29.88,19.43,8.51,18-7-1949
1949,7,19,0,32.15,20.03,8.78,19-7-1949
1949,7,20,18.58,33.28,19.38,8.74,20-7-1949
1949,7,21,0.22,31.26,17.88,6.68,21-7-1949
1949,7,22,4.2,27.69,14.9,6.06,22-7-1949
1949,7,23,0,26.33,15.3,7.08,23-7-1949
1949,7,24,1.9,27.94,11.91,3.35,24-7-1949
1949,7,25,4.88,26.1,15.26,4.81,25-7-1949
1949,7,26,0,29.51,13.91,3.38,26-7-1949
1949,7,27,0,33,16.14,4.69,27-7-1949
1949,7,28,2.95,34.54,19.38,5.86,28-7-1949
1949,7,29,0.17,34.42,19.4,3.92,29-7-1949
1949,7,30,9.7,34.79,19.33,3.29,30-7-1949
1949,7,31,4.47,28.75,17.59,5.73,31-7-1949
1949,8,1,0,28.13,12.85,0.25,1-8-1949
1949,8,2,0,28.88,12.47,2.67,2-8-1949
1949,8,3,0.35,25.56,17.41,3.65,3-8-1949
1949,8,4,7.43,26.33,18.67,4.54,4-8-1949
1949,8,5,3.6,29.14,16.25,1.2,5-8-1949
1949,8,6,0,30.08,14.28,1.63,6-8-1949
1949,8,7,0,31.24,14.16,1.64,7-8-1949
1949,8,8,0,32.05,14.26,4.72,8-8-1949
1949,8,9,0,34.08,16.75,7.24,9-8-1949
1949,8,10,0,34.91,16.63,6.14,10-8-1949
1949,8,11,3.72,33.35,17.06,4.99,11-8-1949
1949,8,12,9.5,27.06,19.62,0.95,12-8-1949
1949,8,13,17.95,26.51,17.82,3.27,13-8-1949
1949,8,14,0,25.46,15.19,6.58,14-8-1949
1949,8,15,0,26.34,13.13,1.78,15-8-1949
1949,8,16,0,25.32,12.87,5.58,16-8-1949
